msisdn;churn_inactivity_propensity_score;churn_inactivity_expected_total_loss;target;delivery_date
14266;0.595068543703219;9.56360159523031;tg;2013-08-11
2953;0.592837058117213;10.5863760378074;tg;2013-08-11
13755;0.584216031035332;10.2237805431183;tg;2013-08-11
109;0.580933385427768;8.50652457233517;tg;2013-08-11
3352;0.511927256389026;6.03342837887067;tg;2013-08-11
1064;0.506604289509482;11.0367363071709;cg;2013-08-11
808;0.500626558041036;7.1518079720148;tg;2013-08-11
4909;0.493667328740885;7.40500993111328;tg;2013-08-11
2051;0.477538540427057;8.52747393619745;tg;2013-08-11
12668;0.466670984989454;9.16675149086427;tg;2013-08-11
998;0.412999688516009;9.14499310285448;tg;2013-08-11
8894;0.404473733864497;8.52283939214476;tg;2013-08-11
3232;0.391638860814057;9.23148743347419;tg;2013-08-11
2471;0.382111783879556;6.41401922940683;tg;2013-08-11
12426;0.380184070982062;6.38166119148462;tg;2013-08-11
3926;0.376018470998937;6.0431539981972;tg;2013-08-11
10156;0.370873984171557;6.49029472300224;tg;2013-08-11
7520;0.367907873512789;6.83257479380893;tg;2013-08-11
4985;0.361114095795463;7.86712851554402;tg;2013-08-11
14689;0.358722166452002;5.50894755622717;tg;2013-08-11
2062;0.351965283190866;6.03369056898628;cg;2013-08-11
10369;0.350552407649334;7.26144272987906;tg;2013-08-11
5120;0.350034489930917;6.12560357379105;tg;2013-08-11
12719;0.34654008902695;4.950572700385;tg;2013-08-11
6458;0.343555283403047;3.31285451852939;tg;2013-08-11
9105;0.338707227128295;4.95964154009289;tg;2013-08-11
14422;0.318768297998766;3.18768297998766;tg;2013-08-11
12062;0.317508464329961;4.87602284506726;tg;2013-08-11
9668;0.307836127570642;4.50760043942726;tg;2013-08-11
11485;0.282665324421025;5.55235458684156;tg;2013-08-11
5819;0.273253938172406;3.51326491935951;tg;2013-08-11
12085;0.264574971837646;2.55125865700587;cg;2013-08-11
12033;0.255658227158337;3.56095387827684;cg;2013-08-11
7095;0.247447725004146;3.35821912505627;tg;2013-08-11
9353;0.243935228105894;2.17799310808834;tg;2013-08-11
6300;0.236422081528776;2.36422081528776;tg;2013-08-11
12638;0.235573682588724;4.79560710984187;tg;2013-08-11
7928;0.226754120725838;3.88721349815723;tg;2013-08-11
11942;0.225924351918697;2.98542893606849;tg;2013-08-11
8500;0.220961675357505;2.05178698546255;tg;2013-08-11
8821;0.216132275404145;3.16479403270356;cg;2013-08-11
13291;0.215736608577735;3.92948822766589;tg;2013-08-11
3645;0.2136994879968;2.97652858281257;cg;2013-08-11
6822;0.212846909034558;4.63702194682431;tg;2013-08-11
14730;0.209600730767784;3.66801278843622;tg;2013-08-11
6327;0.207673608410669;4.37597960579624;tg;2013-08-11
7044;0.205215667195131;4.54406120217791;tg;2013-08-11
14042;0.205078405628638;3.58887209850117;tg;2013-08-11
11992;0.204428934173383;2.40934100990058;tg;2013-08-11
4250;0.194104773969049;2.77292534241499;cg;2013-08-11
6756;0.192395393289952;2.06137921382091;cg;2013-08-11
11538;0.18904185189992;2.63308293717745;tg;2013-08-11
2245;0.168493016684706;1.68493016684706;tg;2013-08-11
1748;0.168073785627855;1.92084326431834;tg;2013-08-11
5738;0.167393050017721;3.04894483960849;tg;2013-08-11
2273;0.155374487364079;2.49708997549413;tg;2013-08-11
3295;0.152717268736622;3.32705478319069;tg;2013-08-11
5030;0.148944360075725;2.7129151299507;tg;2013-08-11
